data,data de último acesso,id,turmaTrilha,atividadesFeitas,atividadesCorretas,atividadesGerais
2021-07-26,2021-07-29,568928,11402611,142,136,561.0
2021-07-26,2021-07-29,729177,1662252,161,134,583.0
2021-07-26,2021-07-27,590890,12401431,109,107,436.0
2021-07-26,2021-07-29,723659,1662319,120,105,481.0
2021-07-26,2021-07-29,733288,1678302,99,99,365.0
2021-07-26,2021-07-29,725860,1662252,105,98,471.0
2021-07-26,2021-07-28,736720,1662417,104,97,380.0
2021-07-26,2021-07-28,731807,1662417,103,97,376.0
2021-07-26,2021-07-29,726913,1662319,108,95,417.0
2021-07-26,2021-07-29,797346,25401031,107,93,311.0
2021-07-26,2021-07-29,724973,1662252,93,91,324.0
2021-07-26,2021-07-29,725347,1662319,120,90,481.0
2021-07-26,2021-07-29,724477,1662319,103,88,377.0
2021-07-26,2021-07-27,732763,1662363,98,87,379.0
2021-07-26,2021-07-28,738698,1662417,96,83,358.0
2021-07-26,2021-07-29,723712,1662319,90,82,334.0
2021-07-26,2021-07-28,569069,11402511,83,82,269.0
2021-07-26,2021-07-29,727943,1662319,93,82,344.0
2021-07-26,2021-07-27,731693,1662363,83,81,321.0
2021-07-26,2021-07-27,734958,1662363,89,81,338.0
2021-07-26,2021-07-29,569169,11413111,93,80,343.0
2021-07-26,2021-07-27,583304,21400511,86,80,317.0
2021-07-26,2021-07-27,569309,11403011,78,77,326.0
2021-07-26,2021-07-29,574116,11410411,80,76,272.0
2021-07-26,2021-07-27,586378,11402931,77,76,253.0
2021-07-26,2021-07-27,734289,1662363,83,75,281.0
2021-07-26,2021-07-29,730033,1662417,88,74,334.0
2021-07-26,2021-07-29,724993,1662252,83,72,320.0
2021-07-26,2021-07-29,731281,1661700,71,70,255.0
2021-07-26,2021-07-28,732623,1662363,86,66,330.0
2021-07-26,2021-07-29,738252,1662417,62,61,199.0
2021-07-26,2021-07-28,596955,12409531,60,60,252.0
2021-07-26,2021-07-29,726586,1710970,71,60,256.0
2021-07-26,2021-07-30,612150,25403731,70,59,141.0
2021-07-26,2021-07-29,725746,1662290,61,59,178.0
2021-07-26,2021-07-29,723838,1662290,59,59,222.0
2021-07-26,2021-07-29,567443,11400911,55,55,230.0
2021-07-26,2021-07-30,732346,1667066,65,55,257.0
2021-07-26,2021-07-30,727532,1710974,65,54,289.0
2021-07-26,2021-07-27,735228,1662363,52,51,209.0
2021-07-26,2021-07-26,724279,1670496,54,51,156.0
2021-07-26,2021-07-27,723970,1662337,51,50,167.0
2021-07-26,2021-07-27,589216,"11400531,11406131",51,50,244.0
